Date/Time,yday,prcp (mm/day),srad (W/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil_pH,Clay Content %,Loam Content %,Sand Content %,Silt Content %,Yield (27.6gN/m2)
7/10/2021 0:00,57,0,339.75,21,19.24,940,5.8,8.46,28.87,71.13,20.41,0
7/11/2021 0:00,58,0,288.62,21,19.42,795.83,5.7,8.18,28.09,72,20,0
7/12/2021 0:00,59,0,276.29,23,21.7,833.33,5.7,6.21,22.61,77.38,16.4,0
7/13/2021 0:00,60,0.06,151.45,23.53,22.66,397.08,5.7,8.17,28.08,72,20,0
7/14/2021 0:00,61,0.2,210.75,24.5,23.26,632.08,5.6,10.5,34.53,65.46,24.04,0
7/15/2021 0:00,62,0.2,281.25,24,22.7,606.67,5.8,6.83,24.34,75.65,17.51,0
7/16/2021 0:00,63,0,299.17,22.17,21.25,708,5.8,7.13,25.17,74.83,18.04,0
7/17/2021 0:00,64,0,168.04,21.1,20.15,438,5.7,7.48,26.15,73.85,18.67,0
7/18/2021 0:00,65,0,287.21,23.42,22.17,805.41,5.7,10.85,35.53,64.46,24.67,0
7/19/2021 0:00,66,0,285,23.43,22.34,562.1,5.7,6.4,23.15,76.84,16.75,0
7/20/2021 0:00,67,1.42,163.3,21.17,20,249.17,5.7,7.68,26.69,73.3,19.02,0
7/21/2021 0:00,68,0.01,249.12,20.47,19.21,662.08,5.7,7.02,24.87,75.13,17.84,0
7/22/2021 0:00,69,0.14,319.58,19.5,18.03,677.5,5.8,10.82,35.43,64.56,24.62,0
7/23/2021 0:00,70,0,342.8,20.44,19.02,687.1,5.7,6.3,22.88,77.12,16.57,0
7/24/2021 0:00,71,0.03,317.1,20.72,19.55,686.67,5.7,7.76,26.93,73.06,19.17,0
7/25/2021 0:00,72,0.84,230.8,23.15,22.01,536.67,5.7,7,25,75.22,17.78,0
7/26/2021 0:00,73,0,307.8,22.29,21,695.83,5.7,10.66,35,65,24.34,0
7/27/2021 0:00,74,0.31,68.33,16.87,15.86,95.83,5.6,6.2,22.56,77.43,16.37,0
7/28/2021 0:00,75,0.01,308.21,19,17.4,640.42,5.8,7.57,26.4,73.59,18.83,0
7/29/2021 0:00,76,0.23,64.87,16.38,15.72,74.58,5.8,7.44,26.03,74,18.59,0
7/30/2021 0:00,77,0.05,305.3,16.51,15.54,498.75,5.7,10.41,34.31,65.7,24,0
7/31/2021 0:00,78,0,322,17.37,16.1,698.75,5.7,6,22.03,78,16.03,0
8/1/2021 0:00,79,0.43,110.21,15.53,15,181.67,5.7,7.13,25.18,74.81,18.05,0.079447586
8/2/2021 0:00,80,0.02,317.67,18.64,17.64,679.17,5.7,8.57,29.2,70.8,20.62,0.921927643
8/3/2021 0:00,81,0,275.67,20,18.49,673,5.6,9.77,32.52,67.47,22.75,2.590009821
8/4/2021 0:00,82,0,279,21.62,20.26,730.42,5.6,6.13,22.39,77.61,16.26,4.004708308
8/5/2021 0:00,83,0.01,286.04,23,21.21,810,5.6,7.14,25.2,74.8,18.06,6.98882081
8/6/2021 0:00,84,0,313.83,23.4,22,1003,5.5,10.22,33.78,66.21,23.56,10.45888888
8/7/2021 0:00,85,0.05,186.75,22.71,21.35,463,5.5,6.8,24.22,76,17.43,14.65228098
8/8/2021 0:00,86,0,276.3,23.36,22.46,531.25,5.5,7.47,26.11,74,18.64,19.62242531
8/9/2021 0:00,87,0.05,260.42,25.16,24.13,611.67,5.5,8.4,28.68,71.32,20.29,19.62242531
8/10/2021 0:00,88,0.03,221.87,26,24.7,537.1,5.5,9.68,32.28,67.71,22.59,26.88102637
8/11/2021 0:00,89,0.07,218.67,26.36,25.32,485.83,5.4,5.5,20.63,79.36,15.13,26.88102637
8/12/2021 0:00,90,0,192.91,26.32,25.17,655.42,5.4,7.91,27.35,72.64,19.44,26.88102637
8/13/2021 0:00,91,0.1,223.75,25.1,23.8,393.75,5.5,10.06,33.34,66.66,23.27,26.88102637
8/14/2021 0:00,92,0.02,289.62,22,20.38,918.33,5.4,5.92,21.8,78.19,15.88,41.50328312
8/15/2021 0:00,93,0,305.5,18.36,16.57,838.75,5.5,7.6,26.41,73.59,18.83,41.50328312
8/16/2021 0:00,94,0,288.42,19.33,17.64,896.25,5.5,9.61,32.06,68,22.45,41.50328312
8/17/2021 0:00,95,0,87.67,19.61,19,215.83,5.4,7.11,25.12,74.87,18.01,41.50328312
8/18/2021 0:00,96,0,189.75,24.71,23.75,428.75,5.6,6.48,23.35,76.64,16.87,41.50328312
8/19/2021 0:00,97,0,146.33,23.67,22.66,312.08,5.5,9.6,32.06,68,22.46,41.50328312
8/20/2021 0:00,98,0,232.5,25.66,24.2,802.08,5.6,7.52,26.26,73.74,18.73,41.50328312
8/21/2021 0:00,99,0,244.41,27,25.4,862.1,5.6,5.88,21.69,78.31,15.81,41.50328312
8/22/2021 0:00,100,0,250.3,27.08,25.6,900.41,5.6,9.71,32.34,67.65,22.63,41.50328312
8/23/2021 0:00,101,0,171,25.73,24.67,710.83,5.8,7.69,26.74,73.26,19.04,41.50328312
8/24/2021 0:00,102,0,265.83,25.67,24.35,991.25,5.7,5.77,21.4,78.61,15.61,41.50328312
8/25/2021 0:00,103,0,221.67,26.2,24.76,967.08,5.6,9.93,33,67.04,23.03,41.50328312
8/26/2021 0:00,104,0,247.54,27,25.62,1137.08,5.8,6.85,24.4,75.6,17.54,41.50328312
8/27/2021 0:00,105,0,250.12,21.3,20.27,1070.83,5.7,6.56,23.58,76.42,17.02,41.50328312
8/28/2021 0:00,106,0.36,88.29,18.11,17.51,487.1,5.8,10,33,67.06,23.01,41.50328312
8/29/2021 0:00,107,0.8,65.46,20.21,19.6,44.17,5.7,5.53,20.72,79.27,15.19,41.50328312
8/30/2021 0:00,108,0.03,261.21,25,24,831.67,5.7,8.05,27.74,72.25,19.69,41.50328312
8/31/2021 0:00,109,0,277.75,20.72,19.5,819.58,5.8,8.7,29.55,70.45,20.84,41.50328312
9/1/2021 0:00,110,0,255.17,18.5,16.82,774.17,5.7,5.63,21,79,15.37,41.50328312
9/2/2021 0:00,111,0,157.17,15.66,14.56,501.67,5.8,9.47,31.7,68.3,22.22,41.50328312
9/3/2021 0:00,112,0,220.58,18.06,16.86,506.25,5.8,6.02,22.1,78,16.06,41.50328312
9/4/2021 0:00,113,0,272.7,18.74,17.56,708.33,5.8,7.42,26,74.03,18.55,41.50328312
9/5/2021 0:00,114,0.3,98.75,19.27,18.16,363.33,5.8,8,27.61,72.38,19.6,41.50328312
9/6/2021 0:00,115,0.12,134.54,17.6,16.14,313.75,5.8,6.27,22.78,77.22,16.51,41.50328312
9/7/2021 0:00,116,0.01,255,17.67,16.51,478,5.8,8.16,28.05,71.95,19.88,41.50328312
9/8/2021 0:00,117,1,115.75,19.34,18.4,310.41,5.8,6.23,22.67,77.32,16.44,41.50328312
9/9/2021 0:00,118,0.06,190.87,17.82,16.21,303,5.8,7.57,26.4,73.6,18.82,41.50328312
9/10/2021 0:00,119,0,262.5,16.15,15,500,5.7,6.23,22.68,77.31,16.44,41.50328312
9/11/2021 0:00,120,0,174.04,18.15,17,591.25,5.8,7.22,25.41,74.58,18.19,41.50328312
9/12/2021 0:00,121,0.05,184.71,20,18.53,588.75,5.8,6.3,22.85,77.14,16.55,41.50328312
9/13/2021 0:00,122,0,238.12,17.16,15.74,550,5.7,6.84,24.37,75.62,17.53,41.50328312
9/14/2021 0:00,123,0,171.12,15.78,14.68,361.67,5.8,6.32,22.93,77.07,16.6,41.50328312
9/15/2021 0:00,124,1,158.17,18.37,17.19,280,5.6,6.47,23.34,76.66,16.87,41.50328312
9/16/2021 0:00,125,0,238,16.62,15.05,605.42,5.8,6.64,23.81,76.2,17.17,41.50328312
9/17/2021 0:00,126,0.02,181.58,18.53,17.02,370.41,5.7,6.26,22.75,77.24,16.5,41.50328312
9/18/2021 0:00,127,0,229.33,19.43,18.4,686.67,5.6,6.31,22.9,77.1,16.58,41.50328312
9/19/2021 0:00,128,0,239.3,14.45,12.82,552.08,5.5,6.39,23.12,76.87,16.73,41.50328312
9/20/2021 0:00,129,0,236,15.5,13.85,568.33,5.5,6.06,22.18,77.81,16.13,41.50328312
9/21/2021 0:00,130,0,150,19,18.1,481.67,5.5,5.76,21.36,78.64,15.59,41.50328312
9/22/2021 0:00,131,1.36,34.21,18.66,18.15,79.17,5.4,5.31,20.11,79.88,14.8,41.50328312
9/23/2021 0:00,132,1.14,44.08,19.66,18.97,43.75,5.3,4.79,18.66,81.34,13.87,41.50328312
9/24/2021 0:00,133,0.04,0,16,15.7,0,5.2,4.97,19.15,80.85,14.2,41.50328312
