year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil type,Soil pH,Soil Organic matter %,Sand Content %,Clay Content %,Silt Content %, soil bulk density (grams per cubic centimeter), wilting point %,field capacity %,saturation point (cm),Yield
1982,12,33868.80078,0,176,8,-8,-14.5,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,13,33868.80078,4,172.8000031,12,-8.5,-17.5,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,14,34214.39844,0,259.2000122,12,-11,-21.5,120,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,15,34214.39844,4,227.1999969,16,-5.5,-20,120,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,16,34214.39844,6,249.6000061,24,-4,-24.5,80,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,17,34214.39844,0,281.6000061,24,-15.5,-27,80,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,18,34560,0,291.2000122,24,-4.5,-17,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,19,34560,0,272,24,0,-11,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,20,34560,0,240,24,0.5,-8.5,320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,21,34560,6,99.19999695,24,0.5,-4,440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,22,34905.60156,6,140.8000031,20,2,-4.5,440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,23,34905.60156,10,246.3999939,32,4.5,-11,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,24,34905.60156,0,233.6000061,32,-8,-16,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,25,35251.19922,0,233.6000061,32,-6,-14,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,26,35251.19922,0,294.3999939,32,-7,-18,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,27,35251.19922,0,323.2000122,32,2.5,-11,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,28,35596.80078,0,233.6000061,32,4.5,-3.5,480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,29,35596.80078,0,201.6000061,32,1.5,-5,440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,30,35596.80078,38,96,28,2,-2,520,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,31,35942.39844,6,195.1999969,36,0,-8.5,320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,32,35942.39844,7,259.2000122,40,-5,-18.5,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,33,35942.39844,0,310.3999939,40,-3,-14,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,34,36288,0,227.1999969,40,-3.5,-10.5,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,35,36288,2,262.3999939,44,-7.5,-15.5,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,36,36288,2,240,44,-6.5,-13.5,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,37,36633.60156,3,294.3999939,48,-9,-25.5,80,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,38,36633.60156,0,377.6000061,48,-4,-18.5,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,39,36979.19922,0,352,48,-1.5,-13.5,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,40,36979.19922,5,262.3999939,52,-5,-16.5,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,41,36979.19922,0,400,52,-11,-26.5,80,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,42,37324.80078,0,390.3999939,52,-3.5,-18,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,43,37324.80078,0,358.3999939,52,-0.5,-12.5,240,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,44,37324.80078,0,387.2000122,52,0,-14,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,45,37670.39844,0,368,52,4.5,-8,320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,46,37670.39844,0,252.8000031,52,7.5,0.5,640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,47,38016,0,192,48,6,1,640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,48,38016,10,57.59999847,44,2,0.5,640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,49,38361.60156,5,48,44,1,0,600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,50,38361.60156,9,156.8000031,40,4.5,-0.5,600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,51,38361.60156,0,320,36,10,1.5,680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,52,38707.19922,0,368,36,9,-1.5,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,53,38707.19922,0,390.3999939,32,9.5,-2,520,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,54,39052.80078,0,371.2000122,32,11.5,1,640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,55,39052.80078,0,288,28,6.5,-0.5,600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,56,39398.39844,0,243.1999969,28,1.5,-4,440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,57,39398.39844,0,304,28,1.5,-5.5,400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,58,39398.39844,0,406.3999939,28,5.5,-5.5,400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,59,39744,0,441.6000061,28,8,-5.5,400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,60,39744,0,428.7999878,24,11.5,-1.5,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,61,40089.60156,0,396.7999878,20,12.5,1.5,680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,62,40089.60156,5,291.2000122,20,6,-4,440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,63,40435.19922,19,140.8000031,20,0.5,-3.5,480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,64,40435.19922,0,297.6000061,20,-1,-7.5,360,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,65,40780.80078,0,300.7999878,20,-1.5,-8,320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,66,40780.80078,0,371.2000122,20,-2,-10.5,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,67,41126.39844,0,438.3999939,20,1.5,-9.5,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,68,41126.39844,0,476.7999878,20,2,-11,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,69,41126.39844,1,492.7999878,20,13,-2.5,520,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,70,41472,4,329.6000061,16,14.5,3,760,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,71,41472,0,473.6000061,12,15,1.5,680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,72,41817.60156,15,371.2000122,8,17.5,1.5,680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,73,41817.60156,0,428.7999878,4,12.5,2,720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,74,42163.19922,10,204.8000031,0,9,3.5,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,75,42163.19922,8,304,0,18,6.5,960,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,76,42508.80078,0,393.6000061,0,15,4.5,840,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,77,42508.80078,0,304,0,10.5,3.5,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,78,42854.39844,15,185.6000061,0,9.5,4,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,79,42854.39844,9,236.8000031,0,12,4.5,840,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,80,43200,0,387.2000122,0,11,1,640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,81,43200,0,400,0,10,-0.5,600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,82,43200,0,467.2000122,0,13.5,-1.5,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,83,43545.60156,3,326.3999939,0,15,2.5,720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,84,43545.60156,10,310.3999939,0,12.5,1.5,680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,85,43891.19922,0,342.3999939,0,6,-2,520,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,86,43891.19922,0,400,0,5,-5,440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,87,44236.80078,0,428.7999878,0,8,-3.5,480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,88,44236.80078,0,486.3999939,0,14.5,-1.5,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,89,44582.39844,2,438.3999939,0,19.5,6.5,960,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,90,44582.39844,5,294.3999939,0,19.5,9,1160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,91,44928,0,492.7999878,0,21,3.5,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,92,44928,0,387.2000122,0,21.5,11,1320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,93,45273.60156,15,371.2000122,0,18,1,640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,94,45273.60156,0,416,0,9,-2,520,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,95,45273.60156,0,332.7999878,0,5.5,-2.5,520,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,96,45619.19922,10,310.3999939,8,1.5,-7.5,360,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,97,45619.19922,0,364.7999878,8,1,-6.5,360,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,98,45964.80078,5,160,8,1,-3,480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,99,45964.80078,4,201.6000061,8,1.5,-3.5,480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,100,46310.39844,0,518.4000244,8,8.5,-3.5,480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,101,46310.39844,0,544,4,12.5,-1,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,102,46656,0,569.5999756,0,20.5,4,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,103,46656,0,470.3999939,0,21,7.5,1040,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,104,47001.60156,0,499.2000122,0,17.5,2.5,720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,105,47001.60156,0,515.2000122,0,24,6,920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,106,47001.60156,7,326.3999939,0,24.5,12,1400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,107,47347.19922,26,316.7999878,0,20.5,9,1160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,108,47347.19922,0,486.3999939,0,17.5,3,760,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,109,47692.80078,0,374.3999939,0,17,7.5,1040,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,110,47692.80078,4,297.6000061,0,14,4,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,111,48038.39844,0,489.6000061,0,13,-1,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,112,48038.39844,0,496,0,16,1.5,680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,113,48038.39844,0,502.3999939,0,19,3.5,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,114,48384,0,489.6000061,0,21,6,920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,115,48384,0,406.3999939,0,20,9,1160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,116,48729.60156,7,281.6000061,0,21,11,1320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,117,48729.60156,0,496,0,19,4,800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,118,49075.19922,0,483.2000122,0,17,3,760,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,119,49075.19922,0,425.6000061,0,19,7.5,1040,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,120,49075.19922,0,425.6000061,0,19.5,8,1080,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,121,49420.80078,0,492.7999878,0,22.5,7.5,1040,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,122,49420.80078,0,476.7999878,0,24.5,10,1240,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,123,49420.80078,0,464,0,26,12,1400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,124,49766.39844,0,448,0,28,14.5,1640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,125,49766.39844,0,377.6000061,0,30,19,2200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,126,50112,8,323.2000122,0,28.5,15.5,1760,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,127,50112,3,364.7999878,0,23,8,1080,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,128,50112,0,492.7999878,0,25,9,1120,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,129,50457.60156,0,489.6000061,0,27.5,11,1280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,130,50457.60156,0,470.3999939,0,28,12.5,1440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,131,50457.60156,0,435.2000122,0,29,15,1720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,132,50803.19922,0,380.7999878,0,28.5,17,1920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,133,50803.19922,0,406.3999939,0,29,16.5,1880,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,134,50803.19922,0,371.2000122,0,28,17,1920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,135,51148.80078,1,428.7999878,0,28,15,1720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,136,51148.80078,0,422.3999939,0,29.5,16.5,1880,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,137,51148.80078,3,320,0,31,17.5,2000,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,138,51494.39844,0,432,0,29.5,16,1800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,139,51494.39844,0,457.6000061,0,29,14.5,1600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,140,51494.39844,0,457.6000061,0,30.5,15.5,1680,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,141,51840,37,358.3999939,0,27.5,12,1400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,142,51840,0,400,0,24.5,13,1480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,143,51840,0,272,0,20.5,13.5,1560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,144,51840,0,323.2000122,0,22.5,14,1600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,145,52185.60156,0,371.2000122,0,23,13,1480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,146,52185.60156,13,259.2000122,0,26,16.5,1880,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,147,52185.60156,20,288,0,25.5,15,1720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,148,52185.60156,0,409.6000061,0,26,14.5,1640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,149,52531.19922,6,230.3999939,0,25.5,17.5,2000,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,150,52531.19922,9,288,0,26.5,16,1800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,151,52531.19922,11,249.6000061,0,24.5,16,1800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,152,52531.19922,5,326.3999939,0,21.5,10,1240,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,153,52531.19922,0,435.2000122,0,22.5,11,1320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,154,52876.80078,0,412.7999878,0,21,10.5,1280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,155,52876.80078,0,371.2000122,0,19.5,10.5,1280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,156,52876.80078,7,364.7999878,0,23,9.5,1200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,157,52876.80078,0,486.3999939,0,26,12,1400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,158,52876.80078,0,409.6000061,0,28,17,1920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,159,52876.80078,19,300.7999878,0,27.5,17,1920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,160,53222.39844,19,259.2000122,0,26,17.5,2000,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,161,53222.39844,6,352,0,24.5,12,1400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,162,53222.39844,0,448,0,24,12.5,1440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,163,53222.39844,3,281.6000061,0,24,15,1720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,164,53222.39844,0,448,0,25,13.5,1560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,165,53222.39844,0,508.7999878,0,27.5,12.5,1440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0.423263239
1982,166,53222.39844,0,412.7999878,0,26.5,16,1800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,2.056539113
1982,167,53222.39844,12,300.7999878,0,23,13.5,1560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,4.902143546
1982,168,53222.39844,0,496,0,25,11.5,1360,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,8.710052171
1982,169,53222.39844,0,444.7999878,0,26.5,15,1720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,13.29142016
1982,170,53222.39844,0,444.7999878,0,24,13,1480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,18.78575696
1982,171,53222.39844,0,496,0,26,12.5,1440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,24.2281629
1982,172,53222.39844,0,512,0,26.5,12,1400,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,31.06962979
1982,173,53222.39844,9,345.6000061,0,26,14,1600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,39.96509644
1982,174,53222.39844,0,502.3999939,0,25.5,11.5,1360,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,49.48044077
1982,175,53222.39844,0,502.3999939,0,27,12.5,1440,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,58.75399951
1982,176,53222.39844,0,451.2000122,0,28.5,16,1800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,68.43282502
1982,177,53222.39844,0,400,0,28.5,18,2080,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,80.72574055
1982,178,53222.39844,0,393.6000061,0,29.5,19,2200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,93.804249
1982,179,53222.39844,19,275.2000122,0,28.5,19,2200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,106.9399558
1982,180,53222.39844,14,352,0,31,17,1920,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,120.7469892
1982,181,53222.39844,1,464,0,29.5,16,1800,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,136.6959728
1982,182,53222.39844,0,422.3999939,0,25,14,1600,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,154.1322701
1982,183,53222.39844,9,326.3999939,0,28.5,16.5,1880,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,170.8658679
1982,184,53222.39844,51,300.7999878,0,29.5,18.5,2120,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,187.9987858
1982,185,52876.80078,0,422.3999939,0,32.5,20,2320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,208.8679976
1982,186,52876.80078,0,409.6000061,0,33,21,2480,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,226.7662729
1982,187,52876.80078,0,358.3999939,0,32.5,22.5,2720,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,247.055112
1982,188,52876.80078,0,348.7999878,0,31.5,22,2640,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,268.7625697
1982,189,52876.80078,0,412.7999878,0,30.5,19,2200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,290.7940232
